INDEX_CLASS,SampleID,TAXAID,N_TAXA,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,LIFE_CYCLE,AirBreather,NonTarget,Phylum,Class,Order,Family,Subfamily,Tribe,Genus
CGP_mNRSA,NE_2269,Baetis Rhodani Group,2,4,4_middle,CG,"SW,CN",,multi,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Baetis
CGP_mNRSA,NE_2269,Brillia,7,4,4_middle,SH,BU,,"multi,uni",FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Brillia
CGP_mNRSA,NE_2269,Ceratopogoninae,1,4,4_middle,PR,SP,,multi,FALSE,FALSE,,,Diptera,Ceratopogonidae,,,
CGP_mNRSA,NE_2269,Ceratopsyche,1,4,4_middle,CF,CN,,uni,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Ceratopsyche
CGP_mNRSA,NE_2269,Cheumatopsyche,1,4,4_worse,CF,CN,,multi,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,Cheumatopsyche
CGP_mNRSA,NE_2269,Chironomini,1,,,,,,,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,
CGP_mNRSA,NE_2269,Chironomus,5,4,4_worse,CG,BU,,uni,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Chironomus
CGP_mNRSA,NE_2269,Cladotanytarsus,3,4,4_middle,CG,CB,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Tanytarsini,Cladotanytarsus
CGP_mNRSA,NE_2269,Coenagrionidae,4,4,4_worse,PR,CB,,uni,FALSE,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,
CGP_mNRSA,NE_2269,Conchapelopia,2,,,,,,,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Conchapelopia
CGP_mNRSA,NE_2269,Corbicula fluminea,4,6m,,CF,BU,,multi,FALSE,FALSE,Mollusca,Pelecypoda,Unionoida,Corbiculidae,,,Corbicula
CGP_mNRSA,NE_2269,Corynoneura,1,4,4_middle,CG,SP,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Corynoneura
CGP_mNRSA,NE_2269,Cricotopus,1,4,4_middle,"SH,CG",CN,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Cricotopus
CGP_mNRSA,NE_2269,Cryptochironomus,4,4,4_worse,PR,SP,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cryptochironomus
CGP_mNRSA,NE_2269,Empididae,1,4,4_middle,PR,SP,,,FALSE,FALSE,Arthropoda,Insecta,Diptera,Empididae,,,
CGP_mNRSA,NE_2269,Fallceon,1,4,4_middle,"CG,SH",SW,,multi,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Fallceon
CGP_mNRSA,NE_2269,Galba,1,,,,,,,FALSE,FALSE,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,,,Galba
CGP_mNRSA,NE_2269,Helophorus,1,4,4_worse,SH,SW,,uni,TRUE,FALSE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,Helophorus
CGP_mNRSA,NE_2269,Heptagenia,9,4,4_middle,SC,CN,SG,uni,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,,,Heptagenia
CGP_mNRSA,NE_2269,Hetaerina,4,4,4_middle,PR,"CB,CN",,semi,FALSE,FALSE,Arthropoda,Insecta,Odonata,Calopterygidae,,,Hetaerina
CGP_mNRSA,NE_2269,Hydrophilidae,1,4,4_middle,PR,SW,,uni,TRUE,FALSE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,
CGP_mNRSA,NE_2269,Hydroptila,2,4,4_middle,"SC,PH",CN,,uni,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,Hydroptila
CGP_mNRSA,NE_2269,Limnophyes,3,4,4_worse,CG,SP,,"multi,uni",FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Limnophyes
CGP_mNRSA,NE_2269,Liodessus,1,4,4_middle,PR,SW,,"multi,uni",TRUE,FALSE,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,Liodessus
CGP_mNRSA,NE_2269,Nectopsyche diarina,16,4,4_worse,SH,"CB,SP",,uni,FALSE,FALSE,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,Nectopsyche
CGP_mNRSA,NE_2269,Orthocladiinae,1,,,,,,,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,
CGP_mNRSA,NE_2269,Orthocladius,2,4,4_middle,CG,SP,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Orthocladius
CGP_mNRSA,NE_2269,Paracladopelma,1,4,4_middle,CG,SP,NF,uni,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Paracladopelma
CGP_mNRSA,NE_2269,Paraphaenocladius,1,4,4_middle,CG,SP,,"multi,uni",FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Paraphaenocladius
CGP_mNRSA,NE_2269,Paratanytarsus,2,4,4_middle,CG,"CN,SP",,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Tanytarsini,Paratanytarsus
CGP_mNRSA,NE_2269,Physella,32,5,,SC,CB,,multi,FALSE,FALSE,Mollusca,Gastropoda,Pulmonata,Physidae,,,Physella
CGP_mNRSA,NE_2269,Polypedilum,1,4,4_middle,"SH,CG","CB,CN",,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Polypedilum
CGP_mNRSA,NE_2269,Polypedilum flavum,2,4,4_middle,"SH,CG","CB,CN",,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Polypedilum
CGP_mNRSA,NE_2269,Polypedilum Illinoense Group,50,4,4_worse,"SH,CG","CB,CN",,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Polypedilum
CGP_mNRSA,NE_2269,Polypedilum Scalaenum Group,4,4,4_middle,"SH,CG","CB,CN",,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Polypedilum
CGP_mNRSA,NE_2269,Saetheria,1,4,4_middle,CG,BU,,"multi,uni",FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Saetheria
CGP_mNRSA,NE_2269,Simulium,51,4,4_middle,CF,CN,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Simuliidae,,,Simulium
CGP_mNRSA,NE_2269,Tanypodinae,1,,,,,,,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,
CGP_mNRSA,NE_2269,Thienemannimyia Group,9,4,4_middle,PR,SP,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,Thienemannimyia
CGP_mNRSA,NE_2269,Tricorythodes,7,4,4_worse,CG,SP,,uni,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Tricorythidae,,,Tricorythodes
CGP_mNRSA,NE_2269,Tubificinae,8,4,4_worse,CG,"BU,CN",,,FALSE,FALSE,Annelida,Oligochaeta,Haplotaxida,Tubificidae,Tubificinae,,
CGP_mNRSA,NE_2270,Ablabesmyia,2,4,4_middle,PR,SP,,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,,
CGP_mNRSA,NE_2270,Anisoptera,1,,,,,,,FALSE,FALSE,Arthropoda,Insecta,Odonata,,,,
CGP_mNRSA,NE_2270,Aulodrilus,17,4,4_middle,CG,"BU,SP",NF,,FALSE,FALSE,Annelida,Oligochaeta,Tubificida,Naididae,,,Aulodrilis
CGP_mNRSA,NE_2270,Caenis,102,4,4_middle,CG,SP,,multi,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Caenis
CGP_mNRSA,NE_2270,Callibaetis,3,4,4_worse,CG,SW,,multi,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Callibaetis
CGP_mNRSA,NE_2270,Ceratopogoninae,21,4,4_middle,PR,SP,,multi,FALSE,FALSE,,,Diptera,Ceratopogonidae,,,
CGP_mNRSA,NE_2270,Chironomus,82,4,4_worse,CG,BU,,uni,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Chironomus
CGP_mNRSA,NE_2270,Cladopelma,1,4,4_middle,CG,BU,NF,multi,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,,Chironomini,Cladopelma
CGP_mNRSA,NE_2270,Coenagrionidae,6,4,4_worse,PR,CB,,uni,FALSE,FALSE,Arthropoda,Insecta,Odonata,Coenagrionidae,,,
