INDEX_NAME,INDEX_REGION,LAT,LONG,SAMPLEID,LAKECODE,COLLDATE,COLLMETH,TAXAID,N_TAXA,EXCLUDE,NONTARGET,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,TOLVAL,FFG,HABIT
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,ABLABESMYIA JANTA,30,FALSE,FALSE,ARTHROPODA,INSECTA,Diptera,CHIRONOMIDAE,,TANYPODINAE,ABLABESMYIA,6,,
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,BEROSUS,6,FALSE,FALSE,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Berosini,Berosus,8,PR,SW
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,BEZZIA,6,FALSE,FALSE,Arthropoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Palpomyiini,Bezzia,5,CG,SP
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,CAENIS,12,FALSE,FALSE,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,Caenis,6,CG,SP
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,CHIRONOMUS,282,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Chironomus,10,CG,BU
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,CLADOTANYTARSUS,48,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Cladotanytarsus,7,CG,CB
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,COELOTANYPUS,108,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Coelotanypodini,Coelotanypus,4,PR,BU
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,CRICOTOPUS,12,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini,Cricotopus,8,SH,CN
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,DICROTENDIPES,24,TRUE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,6,CG,BU
IEPA_2021_Bugs,South,38.5410439496,-88.5821828242,RBF_9/19/2016,RBF,9/19/2016,CompositeF,DICROTENDIPES SIMPSONI,90,FALSE,FALSE,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,DICROTENDIPES,6,,
