INDEX_NAME,INDEX_REGION,STATIONID,COLLDATE,COLLMETH,SAMPLEID,LAT,LONG,TAXAID,N_TAXA,NONTARGET,EXCLUDE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,FFG,HABIT,TOLVAL,THERMAL_INDICATOR,LIFE_CYCLE
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Ancyronyx variegatus,1,FALSE,FALSE,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,Ancyronyx,CG,CN,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Cladotanytarsus,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Cladotanytarsus,CF,CB,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Coenagrionidae,1,FALSE,FALSE,Arthropoda,,Insecta,,Odonata,Coenagrionidae,,,,PR,CB,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Eukiefferiella devonica group,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,Eukiefferiella,CG,SP,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Labrundinia,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Labrundinia,PR,SP,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Leptoceridae,1,FALSE,FALSE,Arthropoda,,Insecta,,Trichoptera,Leptoceridae,,,,CG,CB,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Lumbriculidae,1,FALSE,FALSE,Annelida,,Clitellata,Oligochaeta,Lumbriculida,Lumbriculidae,,,,CG,BU,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Microcylloepus pusillus,1,FALSE,FALSE,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,Microcylloepus,CG,CN,5,,semi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Polycentropus,1,FALSE,FALSE,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,,,Polycentropus,PR,CN,5,,uni
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Polypedilum scalaenum group,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,SH,CN,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Rheotanytarsus exiguus group,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,CF,CN,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Simulium,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Simuliidae,,,Simulium,CF,CN,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.A,42.242442,-70.859057,Tvetenia tshernovskii,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,Tvetenia,CG,SP,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Ancyronyx variegatus,1,FALSE,FALSE,Arthropoda,,Insecta,,Coleoptera,Elmidae,,,Ancyronyx,CG,CN,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Chauliodes rastricornis,1,FALSE,FALSE,Arthropoda,,Insecta,,Megaloptera,Corydalidae,,,Chauliodes,PR,CN,5,,semi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Cladotanytarsus,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Cladotanytarsus,CF,CB,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Polycentropus,1,FALSE,FALSE,Arthropoda,,Insecta,,Trichoptera,Polycentropodidae,,,Polycentropus,PR,CN,5,,uni
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Polypedilum flavum,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,SH,CN,5,warm,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Polypedilum scalaenum group,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,SH,CN,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Rheotanytarsus pellucidus,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,CF,CN,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Simulium,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Simuliidae,,,Simulium,CF,CN,5,,multi
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Synorthocladius,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Chironomidae,Orthocladiinae,,Synorthocladius,CG,SP,5,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.B,42.242442,-70.859057,Tubificinae,1,FALSE,FALSE,Annelida,,Clitellata,Oligochaeta,Tubificida,Naididae,Tubificinae,,,CG,BU,8,,
SNEP_2020_Bugs,LowGradientIBI,B0132,7/25/2013,Multihab,2013037.C,42.242442,-70.859057,Antocha,1,FALSE,FALSE,Arthropoda,,Insecta,,Diptera,Tipulidae,,,Antocha,CG,CN,5,,uni
